persona_id,alpha
P001,1.2271794548121808e-08
P002,1.877269625285652e-08
P003,2.502306939875459e-08
P004,3.0099759361054826e-08
P005,2.2565950285953048e-08
P006,1.0704073037005077e-08
P007,3.286175739151054e-08
P008,5.601288685201606e-08
P009,7.082190937862633e-08
P010,2.0568093308678747e-08
P011,4.7336216281572595e-08
P012,0.43644354054449286
P013,0.07772442351462591
P014,2.870870868445723e-08
P015,1.646331388616838e-08
P016,1.6189918091579654e-07
P017,4.442374722523067e-07
P018,9.480569043319914e-08
P019,1.2983331185343293e-07
P020,1.8050204059842467e-07
P021,2.743075165312811e-08
P022,0.11035928650919617
P023,3.3874074448163465e-08
P024,1.592819964220999e-08
P025,1.0656958825152263e-07
P026,1.753319997387554e-08
P027,2.272357275581437e-08
P028,1.65087878591108e-08
P029,3.673578653006285e-08
P030,1.4964313728684314e-08
P031,1.261000736058029e-08
P032,6.156939350258833e-08
P033,5.3464037773454024e-08
P034,3.1547756471157306e-08
P035,1.3184329232278316e-07
P036,7.56189045817347e-08
P037,1.4537737899786071e-08
P038,9.384948247919622e-08
P039,3.422090333754676e-08
P040,1.99293502033453e-08
P041,9.940897144872365e-08
P042,3.7518389004108886e-07
P043,8.01766428213076e-09
P044,1.880526103412505e-08
P045,3.3477801589869685e-08
P046,2.1024687353661667e-08
P047,0.37546945901879525
P048,4.986987483698672e-08
P049,1.0313390475858473e-07
P050,1.3332449969523304e-07
DUMMY_NO_BUY,2.2321926929683812e-07
