split,train_frac,n_train_rows,objective,article_id,n_candidate_prices,ground_truth_optimal_price,policy_optimal_price,ground_truth_best_value,ground_truth_value_at_policy_price,absolute_regret,relative_performance,price_match,policy_selected_exposure_n,ground_truth_selected_exposure_n
4,0.5,1366,expected_revenue,397068015,10,19.99,19.99,34.672461928581136,34.672461928581136,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,397068015,10,16.99,16.99,6.690292733119948,6.690292733119948,0.0,1.0,True,100,250
4,0.5,1366,expected_revenue,399256023,6,9.99,9.99,18.546253483486222,18.546253483486222,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,399256023,6,8.99,8.99,3.852575731596433,3.852575731596433,0.0,1.0,True,100,250
4,0.5,1366,expected_revenue,399256032,7,9.99,9.99,19.677544378664063,19.677544378664063,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,399256032,7,9.99,8.49,4.45908001298005,4.2828587404004494,0.17622127257960063,0.9604803519859179,False,100,250
4,0.5,1366,expected_revenue,518329007,10,14.99,14.99,25.58304238954903,25.58304238954903,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,518329007,10,14.99,11.99,4.1726469295868105,4.007543773552671,0.1651031560341396,0.960432032994824,False,100,250
4,0.5,1366,expected_revenue,524825011,10,24.99,24.99,43.8625596693369,43.8625596693369,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,524825011,10,20.99,20.99,8.40993182473225,8.40993182473225,0.0,1.0,True,100,250
4,0.5,1366,expected_revenue,539723005,10,19.99,19.99,34.456394016654606,34.456394016654606,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,539723005,10,19.99,19.99,5.809392575851402,5.809392575851402,0.0,1.0,True,100,250
4,0.5,1366,expected_revenue,540768002,10,45.99,45.99,66.74460341260563,66.74460341260563,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,540768002,10,37.49,37.49,7.124518924434658,7.124518924434658,0.0,1.0,True,100,250
4,0.5,1366,expected_revenue,547780002,10,14.99,14.99,27.981730063795478,27.981730063795478,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,547780002,10,13.49,11.99,5.822129737788406,5.668644647730582,0.15348509005782418,0.9736376382921128,False,100,250
4,0.5,1366,expected_revenue,599502001,10,29.99,25.37,49.49174554989513,47.117653203668475,2.3740923462266537,0.9520305392374329,False,100,250
4,0.5,1366,cvar_0.25,599502001,10,23.99,25.37,10.166007142497914,9.637799990972745,0.5282071515251694,0.9480418276201031,False,100,250
4,0.5,1366,expected_revenue,649671002,10,24.99,24.99,42.494320400805215,42.494320400805215,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,649671002,10,20.99,20.99,7.695926020551067,7.695926020551067,0.0,1.0,True,100,250
4,0.5,1366,expected_revenue,658030005,10,29.99,29.99,44.87018135133195,44.87018135133195,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,658030005,10,21.86,21.86,6.519814046019423,6.519814046019423,0.0,1.0,True,100,250
4,0.5,1366,expected_revenue,658030020,10,29.99,25.99,44.77628474270084,42.5903581166732,2.185926626027637,0.9511811522865579,False,100,250
4,0.5,1366,cvar_0.25,658030020,10,22.49,22.49,6.499197538201141,6.499197538201141,0.0,1.0,True,100,250
4,0.5,1366,expected_revenue,660308008,10,14.99,14.99,23.942527210463673,23.942527210463673,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,660308008,10,12.59,12.59,3.242861832741875,3.242861832741875,0.0,1.0,True,100,250
4,0.5,1366,expected_revenue,661306001,10,9.99,9.99,18.439146309292738,18.439146309292738,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,661306001,10,9.99,7.99,3.7231666716072165,3.3646193640819475,0.358547307525269,0.9036982925691878,False,100,250
4,0.5,1366,expected_revenue,705330001,10,9.99,9.99,17.646759988050977,17.646759988050977,0.0,1.0,True,100,250
4,0.5,1366,cvar_0.25,705330001,10,9.99,7.99,3.201932295532984,3.010819233362773,0.1911130621702113,0.9403132094839004,False,100,250
