persona_id,alpha
P001,3.9643135708081745e-08
P002,8.246207598684048e-09
P003,4.1561132013729405e-08
P004,2.1505294749429504e-08
P005,1.2456418376512657e-08
P006,9.123782851380181e-09
P007,0.02489260575778868
P008,2.279844054132666e-09
P009,1.2958861381516548e-08
P010,5.089790146646807e-08
P011,0.12581359851198584
P012,5.449294221269887e-07
P013,0.22308760613801873
P014,0.03493908364553174
P015,7.581669839190102e-08
P016,0.005678853181055825
P017,1.9832643408634993e-08
P018,2.0756974859754951e-07
P019,0.23403626480028078
P020,4.571410408796223e-06
P021,0.048821555976203586
P022,0.2244213603809277
P023,1.809619649687812e-08
P024,1.4353123917985222e-08
P025,3.909520425287138e-08
P026,3.957341189578998e-09
P027,3.2491840072495246e-08
P028,2.8738416910566337e-08
P029,8.015455190739393e-09
P030,1.3284424096038597e-08
P031,4.175087289247034e-08
P032,2.257543567805136e-07
P033,1.2974550511799587e-08
P034,2.7042799776985733e-08
P035,0.01582582324119711
P036,2.1571076522655012e-08
P037,8.217990517543207e-09
P038,0.0012568696314141966
P039,6.453726987762465e-09
P040,1.6255139852413254e-08
P041,2.4144073288730835e-08
P042,3.427166910820611e-08
P043,8.27099526030414e-09
P044,3.5740500847142177e-09
P045,3.489371541265476e-08
P046,2.8875504944373673e-09
P047,1.1238266408052423e-08
P048,7.815894658152284e-08
P049,5.0182506780650566e-08
P050,5.5281694004668416e-08
DUMMY_NO_BUY,0.06121993954811293
