persona_id,alpha
P001,3.6193635352577428e-09
P002,1.0613028469754457e-09
P003,2.0807090903337462e-08
P004,1.1195165996194786e-08
P005,3.1819816435106563e-09
P006,0.021099544784704733
P007,0.14955491773079838
P008,7.4169379401557355e-09
P009,4.899199204616238e-09
P010,8.001803086986341e-09
P011,7.347877278256069e-09
P012,0.12312124414641977
P013,0.014093334339369185
P014,8.186966773331663e-08
P015,6.553630236276992e-09
P016,2.1062008954782837e-08
P017,7.034051219124229e-09
P018,9.3260575778596e-09
P019,2.0532513404255966e-08
P020,9.462349621038098e-09
P021,1.7671036207891592e-08
P022,2.1925081030915123e-08
P023,5.193973823321708e-09
P024,8.811950618245735e-09
P025,2.9767406981518547e-08
P026,0.06731202714138462
P027,7.500598139454048e-09
P028,9.269951551668898e-09
P029,1.1359688028473698e-08
P030,0.023906172246322875
P031,2.972261517921156e-09
P032,8.335083071284925e-09
P033,2.0600178622898837e-08
P034,1.1749790677884698e-08
P035,2.9458663222260834e-08
P036,5.086917812868548e-08
P037,2.7609486126657064e-09
P038,8.605162232462601e-08
P039,1.219991975596671e-08
P040,3.4475975933013123e-09
P041,6.259509821370313e-09
P042,1.1629373305500075e-08
P043,2.8280744102885666e-08
P044,6.141241310807257e-08
P045,7.183291778514393e-09
P046,9.607005895626735e-10
P047,1.1324375852809445e-08
P048,1.8262630963185203e-08
P049,2.0797893638223435e-08
P050,1.7920392337117502e-08
DUMMY_NO_BUY,0.6009120122637438
