persona_id,alpha
P001,9.917898956833427e-09
P002,4.7899980121533466e-09
P003,1.063945879569711e-08
P004,4.1034598621107776e-09
P005,3.876325030172837e-09
P006,2.1193576952957208e-08
P007,2.133913086841696e-09
P008,7.862706887904571e-09
P009,1.2892206732104865e-08
P010,0.11505354483813125
P011,3.1177566095659504e-08
P012,1.4862119358283265e-06
P013,1.663599758027837e-08
P014,4.03866821858263e-09
P015,3.909887332434133e-08
P016,1.7251732916476638e-08
P017,1.5441514420812206e-08
P018,4.798969575215172e-09
P019,0.19633025343507865
P020,2.151606884457794e-08
P021,0.10123917447701114
P022,0.48892457567120257
P023,4.1087612011844504e-09
P024,6.066007925910272e-09
P025,1.335702177103115e-08
P026,1.026402014385982e-08
P027,7.428896082512588e-09
P028,3.130112578671782e-09
P029,8.686583693624366e-09
P030,3.249279986596225e-09
P031,1.4467641780560323e-08
P032,1.657428763022553e-08
P033,8.6233900998738e-09
P034,5.02285760371426e-09
P035,0.08444241993031705
P036,2.9740603420426703e-08
P037,6.559867131931388e-09
P038,3.982095104413862e-08
P039,1.5759509568899067e-08
P040,3.8708273250548184e-09
P041,1.424428364308228e-08
P042,8.470772105492442e-09
P043,9.809664701114479e-09
P044,0.014007965760651074
P045,3.4477838366748998e-09
P046,7.46192031721805e-09
P047,2.17600033247242e-08
P048,3.141761804993561e-08
P049,6.441153637192139e-09
P050,1.1839420144236795e-08
DUMMY_NO_BUY,4.068349839289142e-08
