persona_id,alpha
P001,9.104800986416889e-10
P002,1.990038139662332e-09
P003,6.898648909022448e-10
P004,9.744418370216997e-09
P005,1.1728631746047984e-10
P006,2.9563578010958085e-10
P007,0.13320077135166403
P008,1.1574462019393043e-09
P009,2.695172341071643e-09
P010,0.013749290171296115
P011,9.608958567822299e-09
P012,2.126587558882352e-08
P013,8.0612113794799e-09
P014,8.865464350534647e-09
P015,9.778230374461638e-09
P016,5.380232817130774e-09
P017,9.09811456445996e-09
P018,1.7025339359990693e-09
P019,0.4205920084066996
P020,6.307718436479876e-09
P021,1.4198799940849382e-10
P022,0.18660005847366262
P023,5.794995299103191e-11
P024,1.257511416009335e-09
P025,0.14156192741439733
P026,1.3594520182787532e-09
P027,1.8879768057341906e-10
P028,8.362471026371322e-10
P029,1.6797740045710647e-09
P030,0.06148040341862274
P031,9.191024202127458e-10
P032,1.0106855667503963e-08
P033,8.526640469877317e-09
P034,3.030586513812681e-10
P035,2.3737693721800303e-10
P036,1.0551513988292089e-08
P037,2.4482869172098424e-10
P038,1.447263225824469e-08
P039,1.9405694466096373e-10
P040,0.015279382971533398
P041,1.107912284012013e-08
P042,6.358067056708349e-10
P043,3.03845467105741e-10
P044,8.608615684248393e-09
P045,4.5916465031264675e-10
P046,1.1054847076982424e-09
P047,7.964552824154155e-11
P048,4.363339356299554e-10
P049,3.314855069524668e-11
P050,1.0896863578673237e-08
DUMMY_NO_BUY,0.027535975407623932
