persona_id,alpha
P001,1.666795429194001e-07
P002,3.201062885220637e-08
P003,3.430055597212731e-08
P004,1.835726222173534e-08
P005,4.794012263114213e-09
P006,6.025251178961437e-09
P007,2.9214712314049236e-08
P008,6.9871440578362024e-09
P009,1.0828461962875891e-07
P010,1.9298502190323945e-08
P011,0.05117697107633392
P012,0.12446621971829396
P013,0.09337573527455634
P014,2.2135732633920542e-06
P015,3.772026322346685e-08
P016,3.744013351037664e-08
P017,2.6604461887997392e-08
P018,9.277138180142616e-08
P019,0.27790739299837647
P020,2.3042820933671004e-07
P021,5.5089249793386315e-08
P022,0.06679956712390617
P023,6.054475013586628e-09
P024,1.2868005264275573e-08
P025,2.5641648172549448e-08
P026,1.0692631445878e-08
P027,7.183791440939714e-09
P028,2.2124545322141213e-08
P029,2.505893899700832e-08
P030,3.229880029760695e-08
P031,3.493295265030063e-09
P032,2.2399141808855656e-08
P033,1.2203116278412863e-08
P034,0.06558655273747416
P035,2.569626137304728e-08
P036,2.1308007203089176e-08
P037,0.08104283066059415
P038,6.09030335375736e-08
P039,2.538814307515142e-08
P040,0.09661317335865524
P041,1.0702646874227019e-07
P042,0.05397311526777281
P043,3.039910307193908e-08
P044,7.203427707308568e-09
P045,2.1293506908737772e-08
P046,1.2527595887644736e-08
P047,0.035391536282308414
P048,1.3456155722547579e-08
P049,2.4748340060146056e-08
P050,2.4269245518117007e-08
DUMMY_NO_BUY,0.053663231684855546
