persona_id,alpha
P001,5.455846516060639e-09
P002,2.0066767695752137e-08
P003,1.1843825523628635e-08
P004,2.4852077076517394e-08
P005,1.3722358421075178e-08
P006,6.500750137525617e-09
P007,0.05453848796618541
P008,7.468001201397217e-09
P009,2.1089907192132218e-08
P010,6.797653277948277e-09
P011,4.645730590400612e-08
P012,1.0448146257294059e-07
P013,2.993039839917459e-08
P014,4.361006436234668e-08
P015,1.3012987682806657e-08
P016,1.0634511218535877e-07
P017,0.5306553786685645
P018,2.0246786518355666e-08
P019,1.5612241901133056e-08
P020,8.877916177871998e-08
P021,1.4528683313110099e-08
P022,7.436505932876002e-08
P023,1.8815283957046256e-08
P024,1.3426452716574692e-08
P025,5.012880752107414e-08
P026,1.5238676450992662e-08
P027,3.354660258170253e-08
P028,1.00279278639195e-08
P029,0.09134070860331463
P030,0.04592655763482675
P031,2.1500817488128312e-08
P032,5.8096948224732575e-08
P033,1.3870906675808721e-08
P034,2.620266960184625e-08
P035,7.343552447530749e-08
P036,0.16506320510120137
P037,4.3234014207392524e-09
P038,9.254050110589718e-08
P039,2.577393446519758e-08
P040,6.970815230657033e-09
P041,4.5542717395567595e-08
P042,3.53924786794869e-08
P043,3.6900328527560587e-09
P044,6.881314467784795e-08
P045,1.0044763544677893e-08
P046,2.173330680850922e-08
P047,7.915027550983597e-08
P048,5.645482072856376e-08
P049,1.9777275583069232e-08
P050,4.635204428049848e-07
DUMMY_NO_BUY,0.11247371884092798
