split,train_frac,n_train_rows,objective,article_id,n_candidate_prices,ground_truth_optimal_price,policy_optimal_price,ground_truth_best_value,ground_truth_value_at_policy_price,absolute_regret,relative_performance,price_match,policy_selected_exposure_n,ground_truth_selected_exposure_n
5,0.01,29,expected_revenue,399201022,10,49.99,25.0,67.82849947025099,48.149154568826866,19.679344901424123,0.7098661321550344,False,100,250
5,0.01,29,cvar_0.25,399201022,10,29.99,25.0,11.127955610140363,10.534782298827173,0.5931733113131905,0.9466952123018301,False,100,250
5,0.01,29,expected_revenue,399256018,8,9.99,8.99,17.797607399522683,16.865633215928487,0.9319741835941961,0.947634861098285,False,100,250
5,0.01,29,cvar_0.25,399256018,8,8.49,7.77,3.5930775814130285,3.516887904647136,0.0761896767658925,0.9787954267505881,False,100,250
5,0.01,29,expected_revenue,518329007,10,14.99,11.99,26.46800674619119,21.61101191120857,4.856994834982618,0.8164956325741624,False,100,250
5,0.01,29,cvar_0.25,518329007,10,14.99,5.09,4.79699436620621,1.9857903175073226,2.8112040486988876,0.413965530478165,False,100,250
5,0.01,29,expected_revenue,534357002,10,39.99,29.99,60.225285025658515,51.84390699394989,8.381378031708621,0.8608329038519652,False,100,250
5,0.01,29,cvar_0.25,534357002,10,29.99,29.99,8.822915930186536,8.822915930186536,0.0,1.0,True,100,250
5,0.01,29,expected_revenue,547780002,10,14.99,11.99,28.692005972249664,25.536825597023938,3.1551803752257257,0.8900327715574382,False,100,250
5,0.01,29,cvar_0.25,547780002,10,11.99,10.49,6.341447411939659,5.963554480903102,0.3778929310365573,0.9404090412663422,False,100,250
5,0.01,29,expected_revenue,562245059,10,19.99,19.99,33.225299009982606,33.225299009982606,0.0,1.0,True,100,250
5,0.01,29,cvar_0.25,562245059,10,15.99,19.99,5.593238871685287,4.902285952741302,0.6909529189439851,0.8764664025987154,False,100,250
5,0.01,29,expected_revenue,568597006,5,24.99,20.99,41.39427831133679,37.77830019534644,3.6159781159903517,0.9126454605925566,False,100,250
5,0.01,29,cvar_0.25,568597006,5,20.99,20.99,7.199130188015948,7.199130188015948,0.0,1.0,True,100,250
5,0.01,29,expected_revenue,569978016,10,19.99,19.99,38.22231057680678,38.22231057680678,0.0,1.0,True,100,250
5,0.01,29,cvar_0.25,569978016,10,19.99,7.99,8.260519055079298,4.116254136101704,4.144264918977594,0.498304538571419,False,100,250
5,0.01,29,expected_revenue,573085028,10,19.99,19.99,37.98445430665244,37.98445430665244,0.0,1.0,True,100,250
5,0.01,29,cvar_0.25,573085028,10,19.99,19.99,8.11903392378827,8.11903392378827,0.0,1.0,True,100,250
5,0.01,29,expected_revenue,658030001,10,29.25,23.99,48.41295657031718,44.62134584526629,3.7916107250508873,0.92168190101045,False,100,250
5,0.01,29,cvar_0.25,658030001,10,23.99,22.49,9.155137272706387,8.925908579236175,0.2292286934702119,0.9749617415182188,False,100,250
5,0.01,29,expected_revenue,660308002,10,14.99,11.99,24.263409156947798,20.292226783973742,3.971182372974056,0.8363304040546622,False,100,250
5,0.01,29,cvar_0.25,660308002,10,11.99,4.99,3.2125717556906195,1.9033725539515287,1.3091992017390908,0.5924762771695206,False,100,250
5,0.01,29,expected_revenue,661306005,10,9.99,9.99,16.879666489601572,16.879666489601572,0.0,1.0,True,100,250
5,0.01,29,cvar_0.25,661306005,10,7.99,6.99,2.8107806592335463,2.7289115109812565,0.08186914825228975,0.9708731636588769,False,100,250
5,0.01,29,expected_revenue,661306008,10,9.99,7.49,16.38060952929477,13.363245563178776,3.017363966115994,0.815796600198558,False,100,250
5,0.01,29,cvar_0.25,661306008,10,7.49,5.99,2.4905824032366293,2.28654571738595,0.20403668585067924,0.91807671748362,False,100,250
5,0.01,29,expected_revenue,664647001,10,29.99,21.67,45.53580883066296,40.44738519924564,5.088423631417321,0.888254458148751,False,100,250
5,0.01,29,cvar_0.25,664647001,10,23.99,21.67,8.386694862864598,8.35747522796192,0.029219634902677427,0.996515953497717,False,100,250
5,0.01,29,expected_revenue,672127002,10,9.99,9.99,19.40323926422373,19.40323926422373,0.0,1.0,True,100,250
5,0.01,29,cvar_0.25,672127002,10,9.99,9.99,4.303876922061594,4.303876922061594,0.0,1.0,True,100,250
