persona_id,alpha
P001,1.942510029524637e-07
P002,1.0783708002487093e-07
P003,3.650737913461463e-07
P004,2.4821839595814227e-07
P005,3.5839418967454885e-07
P006,2.2853404202262594e-07
P007,3.3084413268119027e-07
P008,0.17171586060745833
P009,0.10112081576157839
P010,3.477736617728256e-07
P011,2.4772697531935534e-07
P012,4.625048050800379e-07
P013,1.4190141628222231e-06
P014,3.4136819422176514e-07
P015,3.058452261034698e-07
P016,6.925991021910098e-07
P017,3.636771769620421e-06
P018,4.1691279937042385e-07
P019,4.263980478717299e-07
P020,5.244922761290781e-07
P021,0.07159172910152932
P022,0.12906586116828542
P023,1.2599681671547238e-07
P024,2.3838023180302372e-07
P025,2.449658992286108e-07
P026,7.649734736281571e-07
P027,4.388733964639605e-07
P028,1.0676047415507712e-06
P029,6.242642293680366e-07
P030,1.1957533222144498e-07
P031,1.780684441952627e-07
P032,1.5582551252876076e-06
P033,1.2958849273914606e-07
P034,0.39324978647935316
P035,4.637793077408709e-07
P036,1.9112753410493218e-07
P037,3.594168217198454e-07
P038,7.655003703842889e-07
P039,3.4724154951961457e-07
P040,2.8674944095871814e-07
P041,1.6494817713663542e-07
P042,2.4881938004609797e-07
P043,1.5820841901022924e-07
P044,3.4944910678143e-07
P045,2.963134195675754e-07
P046,2.012857961213812e-06
P047,2.0860729354917642e-07
P048,4.158115168175337e-06
P049,1.60580300980345e-06
P050,7.985443980667395e-07
DUMMY_NO_BUY,0.13322738629459907
