persona_id,alpha
P001,8.417009127110033e-13
P002,9.125131441707049e-11
P003,3.4026409995278876e-13
P004,2.6243769193287963e-10
P005,7.194461564841351e-13
P006,1.5987423773483028e-12
P007,2.9535195610807134e-13
P008,1.6541427391615922e-12
P009,0.24493190728111983
P010,0.290866560242531
P011,3.3656098650222357e-14
P012,0.027542113272100436
P013,0.11701368610976785
P014,2.607181206052342e-10
P015,4.922043063183952e-13
P016,1.2592620298616865e-10
P017,3.054204038337276e-14
P018,1.3591302568087333e-10
P019,2.210233518918321e-11
P020,1.0810861534917557e-12
P021,1.7668176797648674e-10
P022,0.13996991960175398
P023,2.8740446804478907e-11
P024,2.108504599056402e-12
P025,9.893164038188418e-11
P026,4.520068863543437e-13
P027,6.465197363524795e-13
P028,3.1782300451681077e-13
P029,4.527717242420161e-13
P030,2.510947794769582e-10
P031,9.288335270072957e-11
P032,4.672658353700649e-11
P033,1.5806817692474148e-10
P034,3.322710578092026e-13
P035,1.6602347497623307e-13
P036,1.5959810682025158e-10
P037,1.2168089972040132e-12
P038,0.04356188742886075
P039,1.056560178519586e-10
P040,1.664434375177636e-10
P041,0.0664419810555063
P042,1.4537519360451895e-10
P043,1.0443789204136919e-12
P044,1.1284865290583598e-10
P045,1.1311146426524635e-12
P046,1.5676128275717126e-12
P047,1.9465428005893544e-10
P048,7.838411537946926e-11
P049,4.19543735852478e-12
P050,3.722992753675649e-12
DUMMY_NO_BUY,0.06967194226948333
