persona_id,alpha
P001,1.4701094206968716e-08
P002,8.5172391577482e-09
P003,1.2656614454667731e-08
P004,8.483034277393385e-09
P005,9.03663697578711e-09
P006,2.771569376555575e-08
P007,3.958528181745926e-09
P008,1.4160261212897434e-08
P009,3.386340152908831e-08
P010,0.10487469097195469
P011,2.9501083638569636e-08
P012,0.010977765091525772
P013,1.7644200497469785e-08
P014,6.27922811773536e-09
P015,6.902131442679265e-08
P016,3.787348259743674e-08
P017,2.9419908259351567e-08
P018,7.91296633501725e-09
P019,0.14365156985632652
P020,4.106647277250047e-08
P021,0.14389018249967167
P022,0.4960359582105539
P023,6.609709679150272e-09
P024,1.658861596662089e-08
P025,1.5600166337715296e-08
P026,1.314650760519195e-08
P027,1.35619499205948e-08
P028,5.152637872631949e-09
P029,1.907155171999475e-08
P030,4.837656866771105e-09
P031,2.1928991917450354e-08
P032,2.45567763222436e-08
P033,2.0513404973614057e-08
P034,8.588632758050694e-09
P035,0.0728515702017158
P036,1.6634875939411985e-07
P037,8.438656984858363e-09
P038,5.196618841429873e-08
P039,2.895862936757539e-08
P040,6.8803559636586656e-09
P041,3.4232880262394814e-08
P042,1.5805777034208648e-08
P043,1.077346575754451e-08
P044,0.02771704790293981
P045,5.865344124565971e-09
P046,1.4709664428560508e-08
P047,3.190533590422861e-08
P048,1.9751678123603916e-07
P049,1.2316079906559779e-08
P050,1.7909703100357748e-08
DUMMY_NO_BUY,6.966992761526609e-08
