persona_id,alpha
P001,1.3381617752078553e-08
P002,7.88107136990494e-09
P003,4.714610615237798e-08
P004,2.2036194894839307e-08
P005,1.6568097724425306e-08
P006,1.108473752385828e-08
P007,8.18853640008344e-08
P008,1.3798588028752427e-08
P009,1.2512862700489014e-08
P010,4.811357364616366e-08
P011,1.1034019872910245e-07
P012,0.014470021950602412
P013,0.09238322981068092
P014,0.11327653391278929
P015,4.370641174903749e-08
P016,2.856988968256253e-08
P017,5.579273995421851e-08
P018,0.16153379253966504
P019,1.3316436935462666e-08
P020,0.2344210676645494
P021,5.043411769425667e-09
P022,0.004240394826803849
P023,1.1799080077991283e-08
P024,0.05038650755044954
P025,0.022219876516886405
P026,7.740593337422929e-09
P027,2.178723081280168e-08
P028,3.591756833641358e-07
P029,3.744686906564996e-08
P030,1.7475512094690068e-08
P031,0.024805641586893048
P032,3.38253552196557e-08
P033,2.745606451600689e-08
P034,1.1599001940884867e-08
P035,0.0015247759018317372
P036,9.800868090440693e-08
P037,6.163587541960594e-09
P038,0.15322177894251776
P039,1.274808540164652e-07
P040,5.984296635735806e-09
P041,0.04061458724802197
P042,0.025324133752278495
P043,9.728893950179848e-09
P044,7.309326733502632e-09
P045,8.873606958268402e-09
P046,8.574863004675633e-09
P047,2.109839310807259e-08
P048,1.661752871022882e-08
P049,8.75336443642541e-08
P050,4.367737871799234e-08
DUMMY_NO_BUY,0.061576157262282355
