persona_id,alpha
P001,2.4151111573422305e-08
P002,1.359207215150129e-08
P003,6.72464446714532e-08
P004,3.761842160489418e-08
P005,2.3809527894831818e-08
P006,2.5410733624096383e-08
P007,0.03429919581176889
P008,1.0971496794768269e-08
P009,5.871638785247932e-08
P010,2.7790440197152855e-08
P011,0.22342940169891432
P012,1.3650200313804088e-07
P013,0.2735266464409001
P014,1.0302028937414101e-07
P015,3.953321517714063e-08
P016,0.10302079382460826
P017,2.4994197849367508e-08
P018,2.0978596625237096e-07
P019,0.11661576559389678
P020,0.06394026229323747
P021,4.773104779079471e-08
P022,0.16673045506256778
P023,2.180007510796726e-08
P024,1.463922555607462e-08
P025,1.0935603938610192e-07
P026,1.9156409916828142e-08
P027,2.8465033319465012e-08
P028,4.160869656622212e-08
P029,2.977823450798262e-08
P030,3.829028758597132e-08
P031,3.49075229383948e-08
P032,2.6619026273111763e-07
P033,2.023162736598409e-08
P034,3.1882604250252914e-08
P035,8.488282754266424e-07
P036,6.450549209352224e-08
P037,6.549545689775484e-09
P038,6.130290123562682e-08
P039,1.525718473594619e-08
P040,2.321468349747309e-08
P041,5.347185200143408e-08
P042,2.8888775817721265e-08
P043,1.932755854120418e-08
P044,2.1666095881639022e-08
P045,2.0036323755943006e-08
P046,1.5397514446412228e-08
P047,2.6337779350314417e-08
P048,2.353969055052995e-07
P049,8.2857770101647e-08
P050,4.51282084165589e-08
DUMMY_NO_BUY,0.018434403927864773
