persona_id,alpha
P001,2.069805171496868e-08
P002,6.686972002573018e-09
P003,9.620494145316414e-08
P004,1.6250150647738243e-08
P005,4.320189624425402e-10
P006,7.113544077283144e-09
P007,0.16974674324352385
P008,3.841955177342919e-09
P009,1.099657765037291e-08
P010,2.0850900144336727e-08
P011,3.332386500811962e-08
P012,0.10423647289063455
P013,0.033557258284184516
P014,1.33353249115764e-08
P015,1.60226829232239e-07
P016,8.909588538261082e-09
P017,2.1371293634512272e-08
P018,7.208143132453827e-09
P019,0.3300868908535049
P020,3.2574912754853724e-08
P021,9.05009514193679e-08
P022,0.2615547016288089
P023,2.3396167070070056e-09
P024,1.4837811080443566e-09
P025,0.017741895296253883
P026,9.536968225074942e-10
P027,1.316546590635459e-09
P028,2.1221898668256265e-08
P029,9.886092690370914e-09
P030,5.977250626560114e-08
P031,3.8704027419439694e-10
P032,1.1299947855573266e-08
P033,1.253831564987877e-09
P034,0.013783936844441255
P035,2.280165902233288e-08
P036,6.510070425789702e-09
P037,5.984987174555699e-08
P038,2.1460214728024036e-07
P039,1.823171447628694e-08
P040,1.2676045646934261e-08
P041,1.277666874406203e-08
P042,0.06929091846326911
P043,3.78781873930122e-08
P044,5.110360866349827e-09
P045,5.830655161339329e-09
P046,1.351078582273529e-09
P047,3.961128914834156e-08
P048,1.2157168072326347e-09
P049,4.806462458099844e-09
P050,9.336586182210819e-09
DUMMY_NO_BUY,6.94658860432278e-08
