persona_id,alpha
P001,1.7969745610799723e-10
P002,0.0
P003,0.0
P004,0.0
P005,0.0
P006,1.4864786272020077e-10
P007,0.0
P008,3.438488981340652e-10
P009,0.0
P010,0.02952687413024004
P011,0.0
P012,0.18918635734104278
P013,0.024497070254074892
P014,0.0
P015,0.0
P016,0.0
P017,7.270271021922e-11
P018,4.4481861435738926e-11
P019,0.2741134026208291
P020,3.070483333686272e-15
P021,0.0
P022,0.2144474421931326
P023,1.4847859744229743e-10
P024,3.671181519167782e-10
P025,0.04377747470955209
P026,2.4299066870821586e-10
P027,1.3688363589825138e-10
P028,2.909462667516877e-10
P029,0.0
P030,0.0
P031,1.6198478850397392e-10
P032,0.0
P033,9.000924598196361e-11
P034,9.64079122931829e-11
P035,0.0
P036,0.0
P037,2.1470971905983998e-10
P038,0.0
P039,2.91019779942876e-11
P040,0.0
P041,0.22445137553178293
P042,2.492774236337784e-12
P043,1.3152979845531046e-10
P044,0.0
P045,8.738328696518592e-11
P046,2.4213227691894324e-10
P047,1.261858247465765e-10
P048,4.5610319796715927e-11
P049,1.5998480602278816e-11
P050,0.0
DUMMY_NO_BUY,0.0
