persona_id,alpha
P001,2.596723096817296e-08
P002,1.733547986459504e-08
P003,2.7639101365018146e-07
P004,4.0446410682412804e-08
P005,0.021161136440093407
P006,1.816390757850577e-08
P007,0.05004685813185598
P008,4.808497233287073e-08
P009,4.962068502706973e-08
P010,0.006116396876220115
P011,0.22214457145951524
P012,8.80533535408807e-08
P013,0.029941413613826132
P014,0.15245880201268705
P015,2.5052216297832803e-08
P016,1.1219121348141218e-07
P017,2.4881484830717655e-08
P018,4.872117983627485e-08
P019,1.9106326954406365e-07
P020,6.93538427359208e-08
P021,1.7593294814872894e-07
P022,3.4574886708103956e-07
P023,1.1021366594886923e-08
P024,4.571661036045046e-08
P025,1.270691660249397e-07
P026,4.347336023282077e-09
P027,2.0945327946525882e-08
P028,4.2665192050074054e-08
P029,2.364321839259496e-08
P030,3.96743886345988e-08
P031,2.2146776879169756e-08
P032,6.339063465542955e-08
P033,7.96842990125321e-08
P034,5.0973107652654775e-08
P035,1.7901335258978545e-06
P036,8.389635737920949e-08
P037,2.401900796395986e-09
P038,1.0065671109635805e-07
P039,1.0698490884115733e-07
P040,0.05268297248663217
P041,1.2039700101009385e-07
P042,5.272219365267707e-08
P043,2.035635496542489e-08
P044,2.8105602050948257e-08
P045,0.039094019254558
P046,1.0457131078464013e-08
P047,2.859167332191186e-07
P048,4.2187021222079475e-08
P049,8.983973138087176e-08
P050,6.983198990984885e-07
DUMMY_NO_BUY,0.4263483090640403
