persona_id,alpha
P001,1.923100788695376e-11
P002,2.1804409613253008e-08
P003,7.0694271389665125e-12
P004,1.8943619845902574e-08
P005,9.431398699364027e-09
P006,6.197722135996526e-12
P007,1.7688675804663835e-09
P008,8.166840365444733e-12
P009,1.0638042089978837e-08
P010,1.474288644167996e-08
P011,1.0007902840866477e-12
P012,2.5960789390749258e-08
P013,6.741545975169844e-09
P014,1.1698854285757012e-12
P015,9.759199482527157e-12
P016,1.0546953728305418e-08
P017,1.3282839827779404e-08
P018,5.290920744558572e-12
P019,0.09266573149954717
P020,1.881983748356915e-08
P021,4.843720824548989e-12
P022,0.6078795686126781
P023,1.3670080768876839e-12
P024,2.530645585517732e-12
P025,1.3820888981666261e-08
P026,7.719020367379495e-12
P027,5.92124370533806e-09
P028,8.244722103105318e-12
P029,1.9049663978762274e-09
P030,3.2229505605273266e-10
P031,1.0356458166496538e-11
P032,2.1684282804359022e-08
P033,1.7521679447005594e-08
P034,1.513067789710719e-08
P035,2.1031345135601884e-08
P036,2.5028542635744693e-08
P037,1.4880791914464467e-11
P038,1.6881638646847026e-08
P039,1.2800732070109715e-12
P040,5.753250557302434e-12
P041,0.1380109258983301
P042,8.115965537180531e-09
P043,9.885447268995096e-12
P044,0.16144340900861295
P045,3.832498375927673e-12
P046,1.5613931538394382e-08
P047,1.1367635451706215e-13
P048,1.5595421533155457e-12
P049,1.1226510528806879e-08
P050,3.5653363095452765e-10
DUMMY_NO_BUY,3.760888632782111e-08
