persona_id,alpha
P001,4.483178739397169e-08
P002,3.697839474155486e-08
P003,2.1519434354858737e-08
P004,5.7930087902893177e-08
P005,0.008949773392925775
P006,1.669539880078046e-08
P007,4.597350899658257e-08
P008,6.921709331272332e-08
P009,4.9584122799405544e-08
P010,4.7935988022064086e-08
P011,1.2010984807239563e-07
P012,7.72604549743849e-08
P013,9.475070627388042e-08
P014,0.13242912763219722
P015,3.5044290453825264e-08
P016,4.849801180136165e-08
P017,3.7913763866465744e-07
P018,0.25108446594923567
P019,4.4044002920831614e-08
P020,0.29227927929007275
P021,2.022218522698349e-08
P022,0.06064189580799749
P023,5.8711960574078165e-08
P024,0.005459155943423751
P025,4.7624483466737344e-08
P026,4.074198462828972e-08
P027,0.06391175327588824
P028,2.9741774888157826e-08
P029,0.01287630189331135
P030,1.456578677509325e-07
P031,0.04094546528975964
P032,2.3551080947932694e-07
P033,3.278649118966423e-08
P034,3.370790823682341e-08
P035,0.0432889841891795
P036,0.033696679782819296
P037,1.179106895686223e-08
P038,1.3032581370578224e-07
P039,2.0954255129245858e-07
P040,2.6011410474750213e-08
P041,4.5759710486554046e-07
P042,2.1201288416796847e-07
P043,1.497468854696243e-08
P044,2.6113170834107984e-08
P045,2.767950978724276e-08
P046,3.417372692623216e-08
P047,7.041444178455054e-08
P048,4.41993173027446e-08
P049,2.5434875933623126e-07
P050,4.843106711728607e-08
DUMMY_NO_BUY,0.054433715721439346
