persona_id,alpha
P001,1.1129355562598373e-07
P002,6.689748973022984e-08
P003,0.06034118521861743
P004,9.474729145410166e-08
P005,5.152970645436562e-08
P006,0.018055272657802674
P007,0.09970194660910839
P008,1.9683169723647178e-07
P009,5.1283290986074474e-08
P010,1.5355395750628806e-07
P011,5.870853332839995e-08
P012,9.904173921669484e-08
P013,1.192065723412698e-07
P014,3.708097864210832e-08
P015,4.319174552385886e-08
P016,1.0821985285921154e-07
P017,4.069854081886361e-07
P018,4.6576690435266066e-08
P019,8.63196666292919e-08
P020,2.1357136538699858e-07
P021,2.7741907250867735e-07
P022,0.36655038259947553
P023,9.964663591061204e-08
P024,1.1861610217182677e-07
P025,1.305406659812923e-07
P026,2.784778618649746e-05
P027,7.012272762807997e-07
P028,3.428149682322901e-07
P029,7.594398318533647e-08
P030,3.05798360310834e-08
P031,2.4962219766239097e-06
P032,5.741867103002871e-07
P033,2.708761033706029e-08
P034,3.731800504146605e-07
P035,0.4553134653568846
P036,6.70159406899317e-08
P037,1.8407976218181218e-07
P038,2.053183252881402e-07
P039,8.662579694809381e-08
P040,1.3499541748809967e-07
P041,4.892175273609856e-08
P042,4.907532753311076e-08
P043,8.291068503601347e-08
P044,3.575008481384334e-07
P045,9.568776457278739e-08
P046,2.0609770932261836e-07
P047,1.156796894182632e-07
P048,2.4873777615870594e-07
P049,9.454444332060611e-08
P050,3.795403500064918e-07
DUMMY_NO_BUY,3.5053590633208354e-07
