persona_id,alpha
P001,1.2261017077144206e-08
P002,8.624493770483979e-09
P003,7.539054045688848e-09
P004,9.971834662637292e-09
P005,2.7593086607848616e-08
P006,3.0938801670133606e-08
P007,1.213977941125655e-08
P008,0.013130978146795277
P009,6.699625897358313e-08
P010,1.7401636869318022e-08
P011,7.573227712295015e-08
P012,2.6772301257533475e-08
P013,0.12780393187147093
P014,3.9851239422907706e-08
P015,6.804404534477244e-09
P016,9.09628907552243e-08
P017,4.860531357049821e-08
P018,3.1548392842124026e-08
P019,0.2917860873286143
P020,0.008231786016866985
P021,2.329804754355957e-08
P022,0.3820288073818677
P023,2.008153255717006e-08
P024,6.8386634815735505e-09
P025,2.53109090529945e-08
P026,6.942698525758428e-09
P027,2.7026519527658427e-08
P028,3.7315692887068816e-08
P029,6.724208375964509e-08
P030,1.9937268850845404e-08
P031,4.7956718008275935e-08
P032,2.6944345277586653e-08
P033,2.487319658624779e-08
P034,1.1663340705565585e-08
P035,4.323630211698113e-08
P036,1.4904492498884506e-08
P037,9.226598343134228e-09
P038,2.3560155528579115e-08
P039,1.0794368463490952e-07
P040,1.6209071284236433e-08
P041,0.1769997609614812
P042,6.282692819038654e-08
P043,7.847074338883113e-09
P044,3.470801562613117e-08
P045,1.8165119660247927e-08
P046,1.176089221198782e-08
P047,4.0471065531315375e-08
P048,1.93824276131742e-08
P049,2.363329513812143e-08
P050,1.7140773648073703e-05
DUMMY_NO_BUY,2.1447033337833524e-07
