split,train_frac,n_train_rows,objective,n_products,mean_regret,median_regret,std_regret,mean_relative_performance,price_match_rate,mean_candidate_prices,selected_exposure_n
0,0.01,30,cvar_0.25,15,2.18045262272064,1.7235727518203356,2.2573508639385857,0.7162803825889952,0.1333333333333333,9.2,100
0,0.01,30,expected_revenue,15,9.759235108989184,5.663164590152434,9.867783043584982,0.7438506452598352,0.1333333333333333,9.2,100
0,0.025,75,cvar_0.25,15,0.9604282503447202,0.4746658557679257,1.1283496020494177,0.8607234860281092,0.2666666666666666,9.2,250
0,0.025,75,expected_revenue,15,2.57160040733946,2.0406102513196736,2.600008849587469,0.9236812707803078,0.3333333333333333,9.2,250
0,0.05,150,cvar_0.25,15,1.1124806512561272,0.4344715137863613,1.5888424890869235,0.8694062927107874,0.1333333333333333,9.2,100
0,0.05,150,expected_revenue,15,2.800748469190514,2.3411480087662966,2.5240108816913063,0.9204258215291,0.2666666666666666,9.2,100
0,0.1,299,cvar_0.25,15,0.3503434899644897,0.1456004446539962,0.5428484649002723,0.9555120209527624,0.4666666666666667,9.2,100
0,0.1,299,expected_revenue,15,1.2918614483810302,0.0,1.8783777582351209,0.9648755334117336,0.6,9.2,100
0,0.2,597,cvar_0.25,15,0.2001820747774655,0.0076777357114776,0.3522543270114641,0.9750364927868922,0.4666666666666667,9.2,250
0,0.2,597,expected_revenue,15,0.3367646058740462,0.0,0.7871817143564378,0.9929483301754634,0.8,9.2,250
0,0.3,896,cvar_0.25,15,0.314468312955838,0.0,0.5581511556976791,0.9623767997868684,0.5333333333333333,9.2,250
0,0.3,896,expected_revenue,15,0.6336080868870795,0.0,1.126640539693767,0.9828673690785024,0.7333333333333333,9.2,250
0,0.4,1194,cvar_0.25,15,0.3114826973849894,0.0305319907550192,0.4509740553985785,0.9634778667899436,0.4666666666666667,9.2,250
0,0.4,1194,expected_revenue,15,0.2602344889474032,0.0,0.6903154455563707,0.9941629092015132,0.8666666666666667,9.2,250
0,0.5,1492,cvar_0.25,15,0.2013852543044574,0.0076777357114776,0.3545151998232089,0.9768641645164104,0.4666666666666667,9.2,150
0,0.5,1492,expected_revenue,15,0.1424642504584506,0.0,0.5517616694555019,0.9977511218661406,0.9333333333333332,9.2,150
0,0.6,1791,cvar_0.25,15,0.1825795034617785,0.0,0.3573986270472041,0.9793423470412704,0.5333333333333333,9.2,100
0,0.6,1791,expected_revenue,15,0.0083076319086274,0.0,0.0321753200285352,0.9998688593686952,0.9333333333333332,9.2,100
0,0.7,2089,cvar_0.25,15,0.1126515302733508,0.0076777357114776,0.1875309337075919,0.9856284840531944,0.4666666666666667,9.2,100
0,0.7,2089,expected_revenue,15,0.0083076319086274,0.0,0.0321753200285352,0.9998688593686952,0.9333333333333332,9.2,100
0,0.8,2388,cvar_0.25,15,0.1697172738610469,0.0,0.3511021294270615,0.9808745417696422,0.5333333333333333,9.2,100
0,0.8,2388,expected_revenue,15,0.0083076319086274,0.0,0.0321753200285352,0.9998688593686952,0.9333333333333332,9.2,100
1,0.01,31,cvar_0.25,15,0.5416581961514025,0.2525872287071067,0.7560203741742091,0.941669651706854,0.2,9.666666666666666,100
1,0.01,31,expected_revenue,15,2.529523709362038,1.8374049753961543,2.7206536927332716,0.93569315688354,0.4,9.666666666666666,100
1,0.025,76,cvar_0.25,15,0.3863345730811596,0.1736261238682139,0.4931024709135149,0.9489137298419518,0.3333333333333333,9.666666666666666,100
1,0.025,76,expected_revenue,15,2.3202386790435705,2.2523611614035843,2.260030683843957,0.935350240909726,0.4,9.666666666666666,100
1,0.05,151,cvar_0.25,15,0.2340088742849795,0.172135399803853,0.3017605392920671,0.9680321432172704,0.4,9.666666666666666,100
1,0.05,151,expected_revenue,15,1.9031181701068152,1.1155044267264884,2.113737176633105,0.9472515986018956,0.4666666666666667,9.666666666666666,100
1,0.1,302,cvar_0.25,15,0.1025707649088576,0.0834070193879261,0.1207846377693361,0.9867382511227742,0.4,9.666666666666666,100
1,0.1,302,expected_revenue,15,0.985559989610029,0.0,1.6040181508172966,0.9731042296597656,0.6,9.666666666666666,100
1,0.2,603,cvar_0.25,15,0.0425982453066915,0.0,0.091974170526829,0.9941824225875646,0.6,9.666666666666666,100
1,0.2,603,expected_revenue,15,0.0243505904648922,0.0,0.0943094313408447,0.9995277891960898,0.9333333333333332,9.666666666666666,100
1,0.3,904,cvar_0.25,15,0.0228979662680761,0.0,0.0775225336275032,0.9971183146589844,0.7333333333333333,9.666666666666666,100
1,0.3,904,expected_revenue,15,0.0,0.0,0.0,1.0,1.0,9.666666666666666,100
1,0.4,1206,cvar_0.25,15,0.0267537356715971,0.0,0.0591897227180061,0.996417397208102,0.6,9.666666666666666,100
1,0.4,1206,expected_revenue,15,0.0,0.0,0.0,1.0,1.0,9.666666666666666,100
1,0.5,1507,cvar_0.25,15,0.0939281552069895,0.0049806890258814,0.1598271911697618,0.988216917512154,0.4666666666666667,9.666666666666666,100
1,0.5,1507,expected_revenue,15,0.0010231898293938,0.0,0.0039627971692509,0.9999783905913978,0.9333333333333332,9.666666666666666,100
1,0.6,1808,cvar_0.25,15,0.0514816564484171,0.0,0.0829586050807092,0.9926163440291842,0.5333333333333333,9.666666666666666,100
1,0.6,1808,expected_revenue,15,0.0010231898293938,0.0,0.0039627971692509,0.9999783905913978,0.9333333333333332,9.666666666666666,100
1,0.7,2110,cvar_0.25,15,0.061114344414791,0.0,0.1039239326955952,0.9912051997309428,0.5333333333333333,9.666666666666666,100
1,0.7,2110,expected_revenue,15,0.0010231898293938,0.0,0.0039627971692509,0.9999783905913978,0.9333333333333332,9.666666666666666,100
1,0.8,2411,cvar_0.25,15,0.061114344414791,0.0,0.1039239326955952,0.9912051997309428,0.5333333333333333,9.666666666666666,100
1,0.8,2411,expected_revenue,15,0.0,0.0,0.0,1.0,1.0,9.666666666666666,100
2,0.01,32,cvar_0.25,15,0.5818045925223801,0.4149054344048029,0.8703775616986501,0.9171284092623414,0.3333333333333333,9.666666666666666,250
2,0.01,32,expected_revenue,15,0.4825826564561002,0.0,1.1712485176568392,0.9910073330201242,0.8,9.666666666666666,250
2,0.025,78,cvar_0.25,15,0.7507039042320266,0.4205957786184804,0.836001484582116,0.887832272006183,0.2,9.666666666666666,100
