train_frac,cvar_0.25,expected_revenue
0.01,1.4314722878120247,3.7010261747458153
0.025,0.9527012452023648,2.588974882460321
0.05,0.5831479264332599,1.5733208208992195
0.1,0.29770686459623896,0.9146958689703961
0.2,0.13861948789424736,0.5397546912972813
0.3,0.1479751360236008,0.4797407830037452
0.4,0.17193048454790077,0.3760030534041363
0.5,0.1389929400766594,0.2740684399349901
0.6,0.12225837550866489,0.16191245716987474
0.7,0.07541957548697859,0.1936555805415839
0.8,0.07239998065321736,0.1778587885376853
