persona_id,alpha
P001,1.4777734999025667e-07
P002,9.603824243988601e-08
P003,3.122613425810296e-07
P004,2.0429521748742472e-07
P005,1.08253281516762e-07
P006,0.29474438897445177
P007,0.04907782940542559
P008,1.5164653260418127e-07
P009,1.3594242095720668e-07
P010,1.4281349936347365e-07
P011,1.6567084265529826e-07
P012,3.9673986452141424e-07
P013,1.4040964765644689e-06
P014,4.1674298350141214e-07
P015,1.5040104840017655e-07
P016,7.103518395117041e-07
P017,3.4970106399419985e-07
P018,2.8355674869069236e-07
P019,3.692711555171623e-07
P020,5.190253179734579e-07
P021,2.6604984375138555e-07
P022,3.523882165995434e-07
P023,1.5760674328699407e-07
P024,1.0342693051377682e-07
P025,4.2009614717846567e-07
P026,3.375993636639586e-07
P027,3.5362571754137253e-07
P028,2.1173698108622747e-07
P029,1.2408693985862087e-07
P030,0.00863693109142924
P031,1.1546695251823249e-07
P032,2.6679718815782203e-07
P033,3.1199844259817446e-07
P034,1.0860953914140946e-07
P035,0.38901062047462837
P036,2.263140537104029e-07
P037,1.900615516365334e-07
P038,2.6255250759667417e-07
P039,1.7005559039840588e-07
P040,1.736758735672617e-07
P041,1.7636753520909812e-07
P042,3.146649675631626e-07
P043,0.20235500096626735
P044,5.722695646636482e-07
P045,1.6484027685897585e-07
P046,8.915861791044458e-08
P047,1.9976979778625505e-07
P048,2.919438335164247e-07
P049,2.1168724345425696e-07
P050,2.817724867491699e-07
DUMMY_NO_BUY,0.056162709879662875
