persona_id,alpha
P001,1.2621983878801494e-08
P002,1.9401908728586296e-08
P003,9.401562867190007e-09
P004,2.071772552332048e-08
P005,4.7690378847254784e-08
P006,2.4003178214323347e-08
P007,4.2445268802399896e-08
P008,0.1238176363688738
P009,7.146256669974532e-08
P010,2.0675214581449602e-08
P011,2.2471074289571982e-07
P012,3.708411172534972e-08
P013,0.23716343612267127
P014,6.960683771612222e-08
P015,1.0887279113218928e-08
P016,6.076326396500031e-08
P017,5.119472939140964e-08
P018,2.995791878428295e-08
P019,0.3593214026038221
P020,7.74439480219321e-08
P021,2.648445434764553e-08
P022,0.11270052852992363
P023,5.415671182876196e-08
P024,1.3777353737776262e-08
P025,5.6603612333589306e-08
P026,1.409026826193213e-08
P027,1.2081254024913966e-07
P028,6.155315436735718e-08
P029,2.0089179266334128e-08
P030,1.0218426139902437e-07
P031,7.704312732228559e-08
P032,6.02765568730035e-08
P033,7.893234307555844e-08
P034,1.0901094866937417e-08
P035,3.59054381516653e-07
P036,2.2082491091538073e-08
P037,5.14677119346767e-08
P038,2.352071370292975e-08
P039,5.778902787718984e-08
P040,1.867303291168711e-08
P041,0.08529812035799
P042,2.2379256862144602e-07
P043,2.3223197499349046e-08
P044,4.256984358462018e-08
P045,3.740262292477704e-08
P046,1.9401414930916876e-08
P047,5.968649274028954e-08
P048,3.1032639489995456e-08
P049,3.1175075723724644e-08
P050,2.1269946940019408e-07
DUMMY_NO_BUY,0.08169613547275771
