persona_id,alpha
P001,5.2211446243062555e-09
P002,9.487513802877362e-09
P003,1.2054646606858824e-08
P004,2.3092321237552305e-08
P005,5.853632725238568e-09
P006,1.373141989600183e-08
P007,1.1132944354888046e-08
P008,1.0391319493798282e-08
P009,4.554407278315117e-08
P010,2.0007651458405308e-07
P011,1.7394486310286402e-08
P012,2.7076538855450572e-08
P013,4.229241068672292e-08
P014,4.7540064067244286e-08
P015,1.7201970988282935e-08
P016,0.09021119009433669
P017,3.014811057385765e-08
P018,0.08622794091115998
P019,1.8756431369318772e-07
P020,3.648617804805629e-08
P021,0.006531871145705182
P022,0.659136546377134
P023,3.88180899319145e-08
P024,0.08279874872165796
P025,2.362045181411156e-08
P026,1.9258881524624637e-07
P027,0.03747974660387866
P028,6.646539154460708e-08
P029,1.2112770464207975e-08
P030,6.868189433758297e-08
P031,7.667286083518671e-09
P032,9.660241208080369e-08
P033,1.7680141648593058e-08
P034,1.7165901451842084e-08
P035,1.4299671254671882e-08
P036,1.8518652199624775e-08
P037,3.202891061604497e-09
P038,3.5326836334931243e-08
P039,1.1316191257576076e-07
P040,9.09965220094496e-09
P041,4.113286274950602e-08
P042,2.008389824909632e-08
P043,1.0155428945536074e-08
P044,1.7058309202557016e-08
P045,3.0096738998272854e-08
P046,1.5077847419835763e-08
P047,4.09133874055001e-07
P048,3.972268452735224e-08
P049,0.03761172435633241
P050,2.7596734586413665e-08
DUMMY_NO_BUY,1.4442904271718335e-07
