persona_id,alpha
P001,0.0014179999176522178
P002,6.589590788232575e-09
P003,4.9434030784253017e-08
P004,4.9770799044755416e-08
P005,2.6621542331243406e-09
P006,1.467773390266482e-08
P007,0.12734977719523696
P008,4.276218332856193e-09
P009,2.4049253797441114e-08
P010,1.193514785746921e-08
P011,1.93050487597924e-08
P012,0.1485693430954129
P013,0.049732553218835164
P014,7.806588180321925e-09
P015,0.006395720319313781
P016,1.1742594551477815e-08
P017,2.180414265391649e-08
P018,1.8700131076642827e-08
P019,0.2991365617609024
P020,2.4352716935075003e-08
P021,1.951446478018359e-08
P022,0.2474651682314275
P023,3.5086771715816834e-09
P024,4.825174512013831e-09
P025,2.554483676380679e-07
P026,2.0186489295996055e-09
P027,2.332578701127552e-09
P028,7.669476910447825e-08
P029,3.6879911321664856e-08
P030,3.297258355115142e-08
P031,3.6568161663707247e-09
P032,9.559824597219204e-09
P033,1.5970652271362205e-09
P034,0.01700721745069367
P035,1.620654762688701e-08
P036,7.4917678667174e-09
P037,3.5565645022419865e-07
P038,2.2904836898175268e-08
P039,2.2200004830206067e-08
P040,1.5373185676053412e-08
P041,1.1759799061435691e-08
P042,0.08788210090952027
P043,0.01504219797682196
P044,9.037043620476953e-09
P045,6.208217656942533e-09
P046,4.344314361674553e-09
P047,4.4352076635240846e-08
P048,2.3100383120585623e-09
P049,5.361379830159065e-09
P050,1.2809762563089248e-08
DUMMY_NO_BUY,1.0779372557621304e-07
